Organism	Protein	COG	Cat	Annotation
270	276	COG1990	J	Peptidyl-tRNA hydrolase
178	283	COG1992	H	Thiamin biosynthesis enzyme, contains thiamin monophosphate synthase domain
1432	2151	COG1994	O	Zn-dependent protease (includes sporulation protein SpoIVFB)
312	353	COG1996	K	DNA-directed RNA polymerase, subunit RPC12/RpoP, contains C4-type Zn-finger
203	218	COG1997	J	Ribosomal protein L37AE/L43A
1152	2302	COG1999	O	Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family
578	1018	COG2002	K B V	DNA-binding transcriptional regulator, chromatin protein or antitoxin AbrBPrlF/Sso7c4, AbrB family
192	197	COG2004	J	Ribosomal protein S24E
193	195	COG2007	J	Ribosomal protein S8E
1099	1152	COG2009	C	Succinate dehydrogenase/fumarate reductase, cytochrome b subunit
190	191	COG2012	K	DNA-directed RNA polymerase, subunit H, RpoH/RPB5
786	1050	COG2013	C	AIM24 protein, required for mitochondrial respiration
173	176	COG2016	J	Predicted ribosome-associated RNA-binding protein Tma20, contains PUA domain
114	123	COG2019	F	Archaeal adenylate kinase
1126	1344	COG2021	E	Homoserine O-acetyltransferase
184	185	COG2023	J	Ribonuclease P protein subunit RPR2
684	1272	COG2026	V	mRNA-degrading endonuclease RelE, toxin component of the RelBE toxin-antitoxin system
1256	4755	COG2030	I	Acyl-CoA dehydratase PaaZ
558	656	COG2035	M	Undecaprenyl phosphate translocase (flippase), DUF368 family
172	365	COG2036	B	Archaeal histone H3/H4/Bacterial histone HBb
1190	1297	COG2038	H	NaMN:DMB phosphoribosyltransferase
166	168	COG2042	J	Ribosome biogenesis protein Tsr3 (18S rRNA aminocarboxypropyltransferase)
274	303	COG2047	R	Proteasome assembly chaperone (PAC2) family protein
209	214	COG2051	J	Ribosomal protein S27E
188	188	COG2053	J	Ribosomal protein S28E/S33
192	195	COG2058	J	Ribosomal protein L12E/L44/L45/RPP1/RPP2
283	292	COG2061	R	Uncharacterized conserved protein, contains ACT domain
1058	1182	COG2068	H	CTP:molybdopterin cytidylyltransferase MocA
742	825	COG2073	H	Cobalt-precorrin 5A hydrolase
190	192	COG2075	J	Ribosomal protein L24E
1247	2413	COG2076	V	Multidrug transporter EmrE and related cation transporters
591	620	COG2078	R	Predicted RNA modification protein, AMMECR1 domain
1096	3248	COG2080	C	Aldehyde, CO, or xanthine dehydrogenase, Fe-S subunit, CoxS/CutS family
854	952	COG2082	H	Precorrin-8X methylmutase CbiC/CobH
606	994	COG2085	R	Predicted dinucleotide-binding enzyme
726	940	COG2089	M	Sialic acid synthase SpsE, contains C-terminal SAF domain
143	144	COG2090	S	Uncharacterized conserved protein, DUF371 domain
191	191	COG2092	J	Translation elongation factor EF-1beta
211	216	COG2093	K	RNA polymerase subunit RPABC4/transcription elongation factor Spt4
1305	1412	COG2096	H	Cob(II)alamin adenosyltransferase
186	186	COG2097	J	Ribosomal protein L31E
122	123	COG2098	H	7,8-dihydroneopterin aldolase MptD (tetrahydrofolate and tetrahydromethanopterin biosynthesis)
188	315	COG2101	K	TATA-box binding protein (TBP), component of TFIID and TFIIIB
424	479	COG2102	J	Diphthamide synthase (EF-2-diphthine--ammonia ligase)
124	124	COG2106	R	Predicted RNA methylase MTH1, SPOUT superfamily
183	192	COG2108	S	Uncharacterized radical SAM domain-containing protein
1119	1342	COG2109	H	ATP:corrinoid adenosyltransferase
866	1370	COG2111	P	Multisubunit Na+/H+ antiporter, MnhB subunit
794	1111	COG2116	P	Formate/nitrite transporter FocA, FNT family
90	90	COG2117	J	Adenosine-binding enzyme, AANH-like superfamily
191	207	COG2118	R	DNA-binding TFAR19-related protein, PDSD5 family
